exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;15657;7829.1;2;4;5;(37,66);(37,67);1.0;1.0;16room_004.map
2;True;AnyaSearch;19732;4933.475;2;3;4;(408,8);(406,5);3.82842712;3.605551275463989;16room_004.map
3;True;AnyaSearch;4079;4079.6;3;8;10;(316,26);(316,24);2.0;2.0;16room_004.map
4;True;AnyaSearch;3994;3994.3;3;7;9;(108,357);(107,356);1.41421356;1.4142135623730951;16room_004.map
5;True;AnyaSearch;2002;2002.8;2;3;4;(308,450);(307,452);2.41421356;2.23606797749979;16room_004.map
6;True;AnyaSearch;3000;3000.5;2;6;7;(274,292);(276,289);3.82842712;3.605551275463989;16room_004.map
7;True;AnyaSearch;3025;3025.4;3;6;8;(270,393);(268,391);2.82842712;2.8284271247461903;16room_004.map
8;True;AnyaSearch;2015;2015.1;2;4;5;(371,456);(370,455);1.41421356;1.4142135623730951;16room_004.map
9;True;AnyaSearch;1043;1043.5;2;4;5;(482,307);(482,308);1.0;1.0;16room_004.map
10;True;AnyaSearch;1962;1962.0;2;4;5;(47,138);(47,136);2.0;2.0;16room_004.map
11;True;AnyaSearch;3000;3000.1;2;4;5;(402,179);(407,182);6.24264069;5.830951894845301;16room_004.map
12;True;AnyaSearch;4039;4039.0;2;3;4;(154,49);(148,53);7.65685425;7.211102550927978;16room_004.map
13;True;AnyaSearch;1960;1960.2;2;4;5;(504,316);(498,316);6.0;6.0;16room_004.map
14;True;AnyaSearch;2056;2056.6;2;4;5;(20,306);(18,313);7.82842712;7.280109889280518;16room_004.map
15;True;AnyaSearch;5998;5998.8;2;5;6;(338,37);(342,37);4.0;4.0;16room_004.map
16;True;AnyaSearch;8001;8001.0;4;8;11;(250,105);(246,109);5.65685425;5.656854249492381;16room_004.map
17;True;AnyaSearch;7999;7999.1;4;11;14;(491,378);(491,382);4.0;4.0;16room_004.map
18;True;AnyaSearch;4996;4996.9;4;10;13;(86,306);(82,311);6.65685425;6.4031242374328485;16room_004.map
19;True;AnyaSearch;5476;5476.8;5;11;15;(258,367);(263,365);5.82842712;5.385164807134504;16room_004.map
20;True;AnyaSearch;31738;3967.775;3;4;6;(257,193);(257,197);4.0;4.0;16room_004.map
21;True;AnyaSearch;4000;4000.2;2;4;5;(501,116);(507,124);10.48528137;10.0;16room_004.map
22;True;AnyaSearch;2999;2999.0;3;9;11;(466,188);(475,181);11.89949493;11.40175425099138;16room_004.map
23;True;AnyaSearch;3000;3000.7;4;7;10;(430,147);(420,150);11.24264069;10.44030650891055;16room_004.map
24;True;AnyaSearch;2002;2002.2;2;3;4;(430,97);(422,100);9.24264069;8.54400374531753;16room_004.map
25;True;AnyaSearch;3000;3000.4;2;3;4;(501,108);(508,103);9.07106781;8.602325267042627;16room_004.map
26;True;AnyaSearch;5004;5004.0;3;8;10;(388,396);(396,397);8.41421356;8.06225774829855;16room_004.map
27;True;AnyaSearch;3000;3000.7;2;4;5;(367,459);(361,452);9.48528137;9.219544457292887;16room_004.map
28;True;AnyaSearch;1996;1996.8;4;7;10;(49,292);(53,299);8.65685425;8.06225774829855;16room_004.map
29;True;AnyaSearch;4004;4004.5;2;4;5;(92,131);(85,136);9.07106781;8.602325267042627;16room_004.map
30;True;AnyaSearch;4037;4037.7;4;7;10;(31,51);(24,57);9.48528137;9.219544457292887;16room_004.map
31;True;AnyaSearch;2962;2962.6;3;6;8;(337,382);(345,372);13.3137085;12.806248474865697;16room_004.map
32;True;AnyaSearch;7003;7003.8;5;8;12;(76,494);(71,504);13.24264069;11.37243087006372;16room_004.map
33;True;AnyaSearch;5961;5961.6;4;7;10;(510,76);(499,81);14.24264069;13.403124237432849;16room_004.map
34;True;AnyaSearch;5995;5995.9;5;13;17;(188,459);(201,460);14.24264069;13.534393703298129;16room_004.map
35;True;AnyaSearch;3998;3998.4;4;8;11;(366,41);(355,49);15.48528137;14.313708498984761;16room_004.map
36;True;AnyaSearch;8039;8039.7;5;9;13;(310,359);(308,373);14.82842712;14.172981246738551;16room_004.map
