exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
Experiment #1;False;AnyaSearch;293077.1;293077.1;109;110;217;(283,492);(286,497);6.24264;-1;AcrosstheCape.map
Experiment #2;False;AnyaSearch;29244.1;29244.1;14;14;27;(21,40);(26,43);6.24264;-1;AcrosstheCape.map
Experiment #3;False;AnyaSearch;22133.5;22133.5;18;18;35;(354,660);(355,654);6.41421;-1;AcrosstheCape.map
Experiment #4;False;AnyaSearch;19917.5;19917.5;2;2;3;(421,18);(424,23);6.24264;-1;AcrosstheCape.map
Experiment #5;False;AnyaSearch;25264.9;25264.9;4;4;7;(409,636);(414,640);6.65685;-1;AcrosstheCape.map
Experiment #6;True;AnyaSearch;23295.5;23295.5;4;5;8;(460,570);(460,577);7.0;7.0;AcrosstheCape.map
Experiment #7;False;AnyaSearch;57814.6;57814.6;18;18;35;(743,425);(748,429);6.65685;-1;AcrosstheCape.map
Experiment #8;False;AnyaSearch;44106.5;44106.5;23;23;45;(12,450);(17,453);6.24264;-1;AcrosstheCape.map
Experiment #9;False;AnyaSearch;36553.4;36553.4;30;31;59;(665,308);(669,309);4.41421;-1;AcrosstheCape.map
Experiment #10;False;AnyaSearch;28611.5;28611.5;4;4;7;(726,722);(733,721);7.41421;-1;AcrosstheCape.map
Experiment #11;False;AnyaSearch;42511.6;42511.6;9;9;17;(396,671);(400,664);8.65685;-1;AcrosstheCape.map
Experiment #12;True;AnyaSearch;24475.8;24475.8;4;6;9;(475,633);(466,638);11.0711;10.295630140987;AcrosstheCape.map
Experiment #13;False;AnyaSearch;10538.9;10538.9;10;10;19;(62,612);(57,606);8.07107;-1;AcrosstheCape.map
Experiment #14;False;AnyaSearch;27530.2;27530.2;8;8;15;(287,224);(288,214);10.4142;-1;AcrosstheCape.map
Experiment #15;True;AnyaSearch;39617.9;39617.9;4;7;10;(299,615);(291,611);9.65685;8.94427190999916;AcrosstheCape.map
Experiment #16;False;AnyaSearch;5704.3;5704.3;4;4;7;(670,71);(679,69);9.82843;-1;AcrosstheCape.map
Experiment #17;False;AnyaSearch;41378.2;41378.2;30;31;59;(444,623);(452,626);9.24264;-1;AcrosstheCape.map
Experiment #18;False;AnyaSearch;25782.6;25782.6;9;9;17;(615,210);(622,214);8.65685;-1;AcrosstheCape.map
Experiment #19;True;AnyaSearch;16113.5;16113.5;3;3;5;(751,28);(747,19);10.6569;9.848857801796104;AcrosstheCape.map
Experiment #20;False;AnyaSearch;13187.3;13187.3;2;2;3;(121,706);(130,710);10.6569;-1;AcrosstheCape.map
Experiment #21;True;AnyaSearch;22828.2;22828.2;3;5;7;(141,176);(137,188);13.6569;12.649110640673518;AcrosstheCape.map
Experiment #22;True;AnyaSearch;16252.1;16252.1;4;7;10;(661,177);(654,189);14.8995;13.892443989449804;AcrosstheCape.map
Experiment #23;False;AnyaSearch;8640.5;8640.5;2;2;3;(160,470);(157,456);15.2426;-1;AcrosstheCape.map
Experiment #24;True;AnyaSearch;32476.8;32476.8;4;6;9;(437,147);(430,137);12.8995;12.206555615733702;AcrosstheCape.map
Experiment #25;True;AnyaSearch;28475.4;28475.4;4;7;10;(435,245);(426,235);13.7279;13.45362404707371;AcrosstheCape.map
Experiment #26;True;AnyaSearch;22808.3;22808.3;3;6;8;(579,237);(592,242);15.0711;13.92838827718412;AcrosstheCape.map
Experiment #27;False;AnyaSearch;41107.5;41107.5;11;11;21;(324,144);(327,130);15.2426;-1;AcrosstheCape.map
Experiment #28;True;AnyaSearch;25763.8;25763.8;3;5;7;(315,252);(330,252);15.0;15.0;AcrosstheCape.map
Experiment #29;False;AnyaSearch;33506.5;33506.5;13;13;25;(451,594);(441,589);12.0711;-1;AcrosstheCape.map
Experiment #30;False;AnyaSearch;69494.8;69494.8;56;56;111;(284,360);(297,358);13.8284;-1;AcrosstheCape.map
Experiment #31;True;AnyaSearch;27354.4;27354.4;3;6;8;(307,292);(290,294);17.8284;17.11724276862369;AcrosstheCape.map
Experiment #32;False;AnyaSearch;22781.4;22781.4;13;13;25;(687,268);(668,268);19.0;-1;AcrosstheCape.map
Experiment #33;True;AnyaSearch;8410.5;8410.5;4;6;9;(365,316);(353,331);19.9706;19.209372712298546;AcrosstheCape.map
Experiment #34;False;AnyaSearch;18058.0;18058.0;4;4;7;(383,562);(378,546);18.0711;-1;AcrosstheCape.map
Experiment #35;False;AnyaSearch;7748.2;7748.2;4;4;7;(361,313);(378,310);18.2426;-1;AcrosstheCape.map
Experiment #36;False;AnyaSearch;43937.6;43937.6;15;15;29;(319,590);(332,603);18.3848;-1;AcrosstheCape.map
Experiment #37;False;AnyaSearch;10390.3;10390.3;2;2;3;(648,487);(666,490);19.2426;-1;AcrosstheCape.map
Experiment #38;False;AnyaSearch;13878.9;13878.9;15;15;29;(198,482);(209,469);17.5563;-1;AcrosstheCape.map
