exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;4593;4593.3;2;4;5;(166,395);(163,396);3.41421356;3.1622776601683795;8room_004.map
2;True;AnyaSearch;2041;2041.0;3;7;9;(180,174);(182,173);2.41421356;2.23606797749979;8room_004.map
3;True;AnyaSearch;962;962.9;2;4;5;(107,333);(107,335);2.0;2.0;8room_004.map
4;True;AnyaSearch;967;967.3;1;1;1;(259,137);(259,137);0.0;0.0;8room_004.map
5;True;AnyaSearch;2000;2000.6;3;5;7;(310,137);(309,138);1.41421356;1.4142135623730951;8room_004.map
6;True;AnyaSearch;2002;2002.5;3;12;14;(309,246);(312,245);3.41421356;3.1622776601683795;8room_004.map
7;True;AnyaSearch;994;994.1;2;5;6;(362,476);(361,473);3.41421356;3.1622776601683795;8room_004.map
8;True;AnyaSearch;1999;1999.7;1;1;1;(67,279);(67,279);0.0;0.0;8room_004.map
9;True;AnyaSearch;1000;1000.2;2;4;5;(173,362);(173,361);1.0;1.0;8room_004.map
10;True;AnyaSearch;2001;2001.6;2;8;9;(399,422);(396,422);3.0;3.0;8room_004.map
11;True;AnyaSearch;2000;2000.5;3;7;9;(367,172);(372,170);5.82842712;5.60555127546399;8room_004.map
12;True;AnyaSearch;3006;3006.4;5;11;15;(482,239);(479,237);4.41421356;3.6502815398728847;8room_004.map
13;True;AnyaSearch;991;991.2;2;3;4;(231,511);(227,510);4.41421356;4.123105625617661;8room_004.map
14;True;AnyaSearch;3006;3006.8;4;8;11;(19,44);(18,50);6.41421356;6.082762530298219;8room_004.map
15;True;AnyaSearch;1004;1004.3;3;5;7;(22,49);(17,54);7.07106781;7.0710678118654755;8room_004.map
16;True;AnyaSearch;1000;1000.4;2;4;5;(413,299);(410,303);5.24264069;5.0;8room_004.map
17;True;AnyaSearch;1999;1999.7;2;4;5;(351,245);(345,243);6.82842712;6.324555320336759;8room_004.map
18;True;AnyaSearch;3003;3003.5;6;14;19;(485,258);(485,255);6.41421356;3.82842712474619;8room_004.map
19;True;AnyaSearch;2038;2038.0;5;12;16;(107,317);(105,310);7.82842712;7.335087491092574;8room_004.map
20;True;AnyaSearch;2008;2008.4;5;10;14;(325,331);(318,332);7.41421356;7.123105625617661;8room_004.map
21;True;AnyaSearch;4032;4032.3;7;12;18;(182,435);(183,424);11.41421356;11.23606797749979;8room_004.map
22;True;AnyaSearch;2002;2002.1;4;7;10;(91,322);(98,324);10.07106781;9.639192214932638;8room_004.map
23;True;AnyaSearch;2008;2008.0;5;7;11;(71,218);(77,223);9.82842712;8.547442467302883;8room_004.map
24;True;AnyaSearch;3034;3034.8;8;15;22;(386,365);(385,372);9.07106781;8.848191962583275;8room_004.map
25;True;AnyaSearch;5000;5000.9;9;16;24;(383,88);(388,92);11.0;9.0;8room_004.map
26;True;AnyaSearch;2004;2004.2;5;10;14;(351,331);(346,324);10.24264069;9.403124237432849;8room_004.map
27;True;AnyaSearch;3994;3994.7;7;12;18;(490,404);(483,409);10.82842712;9.43397840021018;8room_004.map
28;True;AnyaSearch;2007;2007.0;5;9;13;(452,279);(445,275);8.65685425;8.07768723046357;8room_004.map
29;True;AnyaSearch;2019;2019.7;5;6;10;(180,503);(189,497);11.48528137;11.042019056626884;8room_004.map
30;True;AnyaSearch;2998;2998.3;4;7;10;(3,3);(1,12);9.82842712;9.219544457292887;8room_004.map
31;True;AnyaSearch;4005;4005.0;6;12;17;(434,481);(442,476);13.48528137;10.899494936611665;8room_004.map
32;True;AnyaSearch;4003;4003.6;5;7;11;(490,333);(483,334);13.07106781;10.565401897601228;8room_004.map
33;True;AnyaSearch;5003;5003.6;11;20;30;(275,261);(268,268);15.65685425;14.717176145466178;8room_004.map
34;True;AnyaSearch;9996;9996.7;8;14;21;(477,69);(470,79);15.24264069;12.94721147617606;8room_004.map
35;True;AnyaSearch;15998;15998.8;7;10;16;(473,122);(476,109);15.65685425;14.019764837837085;8room_004.map
36;True;AnyaSearch;5000;5000.4;5;12;16;(381,401);(371,403);12.48528137;12.042019056626884;8room_004.map
37;True;AnyaSearch;20008;20008.1;8;14;21;(6,483);(10,472);13.82842712;11.98536903096546;8room_004.map
38;True;AnyaSearch;2998;2998.1;4;7;10;(226,51);(229,63);13.24264069;12.45623261899998;8room_004.map
39;True;AnyaSearch;2003;2003.9;3;8;10;(95,444);(82,443);13.41421356;13.038404810405298;8room_004.map
40;True;AnyaSearch;3003;3003.3;6;11;16;(212,91);(209,97);13.24264069;12.8309518948453;8room_004.map
41;True;AnyaSearch;5996;5996.3;8;15;22;(179,163);(186,153);16.41421356;16.04987562112089;8room_004.map
42;True;AnyaSearch;7001;7001.6;8;16;23;(39,397);(25,402);17.24264069;15.70672987061327;8room_004.map
43;True;AnyaSearch;8998;8998.2;11;18;28;(475,5);(477,22);19.24264069;18.34166020071207;8room_004.map
44;True;AnyaSearch;7002;7002.0;13;21;33;(171,171);(179,183);17.65685425;16.11106178412582;8room_004.map
45;True;AnyaSearch;8006;8006.0;11;18;28;(430,364);(435,379);18.82842712;17.36991633752402;8room_004.map
46;True;AnyaSearch;2994;2994.8;7;14;20;(298,366);(311,374);17.48528137;15.698920015097862;8room_004.map
