exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;10656;10656.4;3;8;10;(130,334);(127,335);3.41421356;3.1622776601683795;London_0_512.map
2;True;AnyaSearch;24849;12425.1;2;6;7;(92,481);(89,482);3.41421356;3.1622776601683795;London_0_512.map
3;True;AnyaSearch;4991;4991.7;3;7;9;(205,112);(206,113);1.41421356;1.4142135623730951;London_0_512.map
4;True;AnyaSearch;2999;2999.8;4;9;12;(494,271);(493,274);3.41421356;3.1622776601683795;London_0_512.map
5;True;AnyaSearch;11000;11000.4;3;7;9;(381,342);(381,341);1.0;1.0;London_0_512.map
6;True;AnyaSearch;4998;4998.1;2;5;6;(396,96);(397,95);1.41421356;1.4142135623730951;London_0_512.map
7;True;AnyaSearch;6003;6003.6;2;5;6;(15,498);(18,497);3.41421356;3.1622776601683795;London_0_512.map
8;True;AnyaSearch;5005;5005.4;2;7;8;(294,324);(295,324);1.0;1.0;London_0_512.map
9;True;AnyaSearch;13003;13003.8;3;8;10;(344,376);(347,374);3.82842712;3.605551275463989;London_0_512.map
10;True;AnyaSearch;1999;1999.0;2;6;7;(353,188);(351,189);2.41421356;2.23606797749979;London_0_512.map
11;True;AnyaSearch;1998;1998.8;4;6;9;(298,72);(302,69);5.24264069;5.0;London_0_512.map
12;True;AnyaSearch;15999;15999.3;4;10;13;(135,356);(139,354);4.82842712;4.47213595499958;London_0_512.map
13;True;AnyaSearch;11001;11001.4;3;7;9;(268,397);(272,399);4.82842712;4.47213595499958;London_0_512.map
14;True;AnyaSearch;6002;6002.3;2;7;8;(143,382);(145,376);6.82842712;6.324555320336759;London_0_512.map
15;True;AnyaSearch;8116;8116.8;2;5;6;(263,393);(260,397);5.24264069;5.0;London_0_512.map
16;True;AnyaSearch;2967;2967.4;5;9;13;(151,102);(155,106);5.65685425;5.656854249492381;London_0_512.map
17;True;AnyaSearch;11002;11002.4;4;9;12;(354,375);(357,378);4.24264069;4.242640687119285;London_0_512.map
18;True;AnyaSearch;15992;15992.9;4;8;11;(209,423);(211,430);7.82842712;7.280109889280518;London_0_512.map
19;True;AnyaSearch;3001;3001.6;2;6;7;(486,72);(489,67);6.24264069;5.830951894845301;London_0_512.map
20;True;AnyaSearch;11201;11201.0;3;7;9;(8,62);(3,65);6.24264069;5.830951894845301;London_0_512.map
21;True;AnyaSearch;6032;6032.3;2;3;4;(22,143);(13,142);9.41421356;9.055385138137417;London_0_512.map
22;True;AnyaSearch;6970;6970.6;2;6;7;(278,316);(287,320);10.65685425;9.848857801796104;London_0_512.map
23;True;AnyaSearch;15994;15994.6;3;6;8;(17,321);(26,322);9.41421356;9.055385138137417;London_0_512.map
24;True;AnyaSearch;8999;8999.0;3;7;9;(38,443);(42,433);11.65685425;10.770329614269007;London_0_512.map
25;True;AnyaSearch;10000;10000.6;2;5;6;(362,436);(355,440);8.65685425;8.06225774829855;London_0_512.map
26;True;AnyaSearch;18003;18003.0;3;9;11;(302,350);(304,339);11.82842712;11.180339887498949;London_0_512.map
27;True;AnyaSearch;16000;16000.8;3;8;10;(244,339);(236,345);10.48528137;10.0;London_0_512.map
28;True;AnyaSearch;10002;10002.2;2;5;6;(292,463);(284,465);8.82842712;8.246211251235321;London_0_512.map
29;True;AnyaSearch;19002;19002.7;3;7;9;(38,354);(44,349);8.07106781;7.810249675906654;London_0_512.map
30;True;AnyaSearch;3998;3998.3;5;8;12;(198,18);(201,8);11.24264069;10.44030650891055;London_0_512.map
31;True;AnyaSearch;2996;2996.7;2;5;6;(149,22);(159,15);12.89949493;12.206555615733702;London_0_512.map
32;True;AnyaSearch;4000;4000.7;4;7;10;(432,493);(433,505);12.41421356;12.041594578792296;London_0_512.map
33;True;AnyaSearch;1999;1999.9;2;7;8;(237,202);(224,202);13.0;13.0;London_0_512.map
34;True;AnyaSearch;19997;19997.4;3;6;8;(18,379);(29,370);14.72792206;14.212670403551895;London_0_512.map
35;True;AnyaSearch;4998;4998.1;2;6;7;(171,489);(180,498);12.72792206;12.727922061357855;London_0_512.map
36;True;AnyaSearch;4001;4001.2;5;7;11;(354,505);(349,494);13.07106781;12.083045973594572;London_0_512.map
37;True;AnyaSearch;14990;14990.3;3;7;9;(269,434);(279,439);12.07106781;11.180339887498949;London_0_512.map
38;True;AnyaSearch;4004;4004.9;2;4;5;(100,493);(96,507);15.65685425;14.560219778561036;London_0_512.map
39;True;AnyaSearch;10997;10997.1;5;8;12;(206,447);(212,457);12.48528137;11.661903789690601;London_0_512.map
40;True;AnyaSearch;3002;3002.5;2;8;9;(320,184);(332,186);12.82842712;12.165525060596439;London_0_512.map
41;True;AnyaSearch;11003;11003.1;6;9;14;(245,444);(241,428);17.65685425;16.492422502470642;London_0_512.map
42;True;AnyaSearch;4004;4004.9;2;5;6;(157,238);(168,224);18.55634918;17.804493814764857;London_0_512.map
43;True;AnyaSearch;7994;7994.9;2;5;6;(211,476);(195,485);19.72792206;18.35755975068582;London_0_512.map
44;True;AnyaSearch;6001;6001.4;8;13;20;(492,185);(485,169);18.89949493;17.46424919657298;London_0_512.map
45;True;AnyaSearch;12001;12001.5;3;8;10;(123,341);(105,339);18.82842712;18.110770276274835;London_0_512.map
46;True;AnyaSearch;6998;6998.1;10;15;24;(457,48);(453,66);19.65685425;18.439088914585774;London_0_512.map
47;True;AnyaSearch;6002;6002.2;11;16;26;(272,174);(258,160);19.79898987;19.79898987322333;London_0_512.map
48;True;AnyaSearch;22999;22999.1;6;12;17;(359,363);(362,347);17.24264069;16.278820596099706;London_0_512.map
49;True;AnyaSearch;7998;7998.0;6;9;14;(4,477);(16,463);18.97056274;18.439088914585774;London_0_512.map
50;True;AnyaSearch;7006;7006.8;2;5;6;(343,487);(325,489);18.82842712;18.110770276274835;London_0_512.map
51;True;AnyaSearch;6997;6997.8;10;15;24;(483,184);(488,204);22.07106781;20.615528128088304;London_0_512.map
52;True;AnyaSearch;7000;7000.2;3;8;10;(214,234);(224,217);21.14213562;19.72308292331602;London_0_512.map
53;True;AnyaSearch;4995;4995.3;3;6;8;(486,168);(503,158);21.14213562;19.72308292331602;London_0_512.map
54;True;AnyaSearch;5004;5004.2;3;7;9;(74,111);(68,129);20.48528137;18.973665961010276;London_0_512.map
55;True;AnyaSearch;6004;6004.2;6;11;16;(261,416);(251,400);20.14213562;18.867962264113206;London_0_512.map
56;True;AnyaSearch;24995;24995.4;5;10;14;(65,318);(66,296);23.24264069;22.099019513592786;London_0_512.map
57;True;AnyaSearch;13024;13024.8;6;11;16;(171,487);(189,477);22.14213562;20.591260281974;London_0_512.map
58;True;AnyaSearch;12995;12995.0;5;11;15;(260,396);(244,383);21.38477631;20.615528128088304;London_0_512.map
59;True;AnyaSearch;11003;11003.9;4;8;11;(336,247);(321,230);23.21320343;22.67156809750927;London_0_512.map
60;True;AnyaSearch;4992;4992.8;7;10;16;(195,124);(180,137);20.38477631;19.849433241279208;London_0_512.map
61;True;AnyaSearch;11004;11004.4;5;8;12;(363,447);(343,436);24.55634918;22.825424421026653;London_0_512.map
62;True;AnyaSearch;9011;9011.1;9;14;22;(56,214);(62,190);26.48528137;25.231546211727817;London_0_512.map
63;True;AnyaSearch;9034;9034.9;2;5;6;(175,445);(152,455);27.14213562;25.079872407968907;London_0_512.map
64;True;AnyaSearch;11967;11967.7;3;6;8;(308,477);(307,501);24.41421356;24.020824298928627;London_0_512.map
65;True;AnyaSearch;6997;6997.1;3;9;11;(387,63);(362,62);25.41421356;25.019992006393608;London_0_512.map
66;True;AnyaSearch;22040;22040.3;14;20;33;(307,313);(301,335);24.48528137;22.80350850198276;London_0_512.map
67;True;AnyaSearch;5994;5994.5;2;6;7;(339,490);(364,497);27.89949493;25.96150997149434;London_0_512.map
68;True;AnyaSearch;8002;8002.6;3;5;7;(182,312);(206,320);27.3137085;25.298221281347036;London_0_512.map
69;True;AnyaSearch;14007;14007.8;7;9;15;(339,259);(334,283);26.07106781;24.515301344262525;London_0_512.map
70;True;AnyaSearch;15397;15397.2;10;13;22;(138,447);(143,423);26.07106781;24.515301344262525;London_0_512.map
71;True;AnyaSearch;10322;10322.9;2;6;7;(282,398);(259,412);28.79898987;26.92582403567252;London_0_512.map
72;True;AnyaSearch;9359;9359.4;4;9;12;(306,363);(284,382);29.87005768;29.068883707497267;London_0_512.map
