exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;3004;3004.1;2;5;6;(216,295);(215,295);1.0;1.0;maze512-8-6.map
2;True;AnyaSearch;1999;1999.1;2;4;5;(454,140);(454,138);2.0;2.0;maze512-8-6.map
3;True;AnyaSearch;1002;1002.0;2;3;4;(71,390);(74,389);3.41421356;3.1622776601683795;maze512-8-6.map
4;True;AnyaSearch;2015;2015.4;2;5;6;(353,501);(352,504);3.41421356;3.1622776601683795;maze512-8-6.map
5;True;AnyaSearch;2057;2057.5;2;4;5;(467,166);(465,164);2.82842712;2.8284271247461903;maze512-8-6.map
6;True;AnyaSearch;1964;1964.1;2;4;5;(393,272);(394,271);1.41421356;1.4142135623730951;maze512-8-6.map
7;True;AnyaSearch;3036;3036.5;2;4;5;(14,164);(12,166);2.82842712;2.8284271247461903;maze512-8-6.map
8;True;AnyaSearch;1955;1955.8;2;4;5;(279,435);(276,433);3.82842712;3.605551275463989;maze512-8-6.map
9;True;AnyaSearch;5037;5037.2;2;3;4;(390,184);(388,183);2.41421356;2.23606797749979;maze512-8-6.map
10;True;AnyaSearch;1964;1964.9;2;2;3;(143,332);(142,331);1.41421356;1.4142135623730951;maze512-8-6.map
11;True;AnyaSearch;20246;20246.3;3;4;6;(507,280);(503,274);7.65685425;7.211102550927978;maze512-8-6.map
12;True;AnyaSearch;5031;5031.6;4;4;7;(467,34);(467,38);6.82842712;6.06449510224598;maze512-8-6.map
13;True;AnyaSearch;3002;3002.5;2;3;4;(50,453);(57,454);7.41421356;7.0710678118654755;maze512-8-6.map
14;True;AnyaSearch;1999;1999.0;2;4;5;(13,367);(17,366);4.41421356;4.123105625617661;maze512-8-6.map
15;True;AnyaSearch;2000;2000.6;2;4;5;(502,84);(500,88);4.82842712;4.47213595499958;maze512-8-6.map
16;True;AnyaSearch;4962;4962.1;4;6;9;(9,244);(11,241);4.41421356;4.16227766016838;maze512-8-6.map
17;True;AnyaSearch;4039;4039.8;2;7;8;(332,464);(329,459);6.24264069;5.830951894845301;maze512-8-6.map
18;True;AnyaSearch;2002;2002.9;2;5;6;(421,255);(421,251);4.0;4.0;maze512-8-6.map
19;True;AnyaSearch;4984;4984.2;2;4;5;(158,260);(162,257);5.24264069;5.0;maze512-8-6.map
20;True;AnyaSearch;2970;2970.7;2;4;5;(470,399);(473,402);4.24264069;4.242640687119285;maze512-8-6.map
21;True;AnyaSearch;4004;4004.6;3;6;8;(235,53);(243,59);10.48528137;10.0;maze512-8-6.map
22;True;AnyaSearch;5041;5041.6;4;6;9;(37,349);(40,357);9.24264069;8.54400374531753;maze512-8-6.map
23;True;AnyaSearch;7027;7027.3;2;4;5;(7,422);(7,412);10.0;10.0;maze512-8-6.map
24;True;AnyaSearch;4973;4973.8;5;7;11;(319,388);(317,383);11.24264069;9.47213595499958;maze512-8-6.map
