exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;4034;4034.5;6;21;26;(161,384);(161,386);2.0;2.0;random512-10-1.map
2;True;AnyaSearch;2965;2965.8;6;17;22;(107,32);(106,35);3.41421356;3.1622776601683795;random512-10-1.map
3;True;AnyaSearch;7002;7002.5;12;35;46;(416,379);(419,378);3.41421356;3.23606797749979;random512-10-1.map
4;True;AnyaSearch;2012;2012.0;3;10;12;(79,101);(77,100);2.41421356;2.23606797749979;random512-10-1.map
5;True;AnyaSearch;3999;3999.2;7;27;33;(161,80);(160,77);3.41421356;3.1622776601683795;random512-10-1.map
6;True;AnyaSearch;2005;2005.4;3;11;13;(193,276);(194,276);1.0;1.0;random512-10-1.map
7;True;AnyaSearch;2040;2040.9;2;7;8;(15,219);(14,219);1.0;1.0;random512-10-1.map
8;True;AnyaSearch;1998;1998.4;3;11;13;(457,460);(458,460);1.0;1.0;random512-10-1.map
9;True;AnyaSearch;9036;9036.9;14;41;54;(301,399);(302,400);1.41421356;1.4142135623730951;random512-10-1.map
10;True;AnyaSearch;5965;5965.9;6;29;34;(247,249);(249,251);2.82842712;2.8284271247461903;random512-10-1.map
11;True;AnyaSearch;3995;3995.5;4;15;18;(285,121);(280,123);5.82842712;5.385164807134504;random512-10-1.map
12;True;AnyaSearch;8006;8006.9;14;45;58;(445,291);(440,295);7.82842712;6.414213562373095;random512-10-1.map
13;True;AnyaSearch;2995;2995.2;5;11;15;(198,432);(201,429);4.24264069;4.242640687119285;random512-10-1.map
14;True;AnyaSearch;5037;5037.3;12;34;45;(13,333);(17,338);7.24264069;6.478708664619075;random512-10-1.map
15;True;AnyaSearch;8000;8000.8;13;31;43;(20,51);(18,56);5.82842712;5.385164807134504;random512-10-1.map
16;True;AnyaSearch;35995;35995.3;67;193;255;(96,477);(100,481);6.82842712;5.841619252963779;random512-10-1.map
17;True;AnyaSearch;3038;3038.3;6;24;29;(252,69);(254,67);4.0;2.8284271247461903;random512-10-1.map
18;True;AnyaSearch;2054;2054.8;5;12;16;(257,113);(264,114);7.41421356;7.082762530298219;random512-10-1.map
19;True;AnyaSearch;1964;1964.3;2;11;12;(467,249);(461,249);6.0;6.0;random512-10-1.map
20;True;AnyaSearch;3005;3005.4;5;16;20;(476,94);(470,93);6.41421356;6.082762530298219;random512-10-1.map
21;True;AnyaSearch;11999;11999.8;21;60;80;(138,332);(149,332);11.82842712;11.198039027185569;random512-10-1.map
22;True;AnyaSearch;6996;6996.1;7;20;26;(317,432);(322,429);10.24264069;8.0;random512-10-1.map
23;True;AnyaSearch;32001;32001.1;30;78;107;(276,292);(269,287);9.65685425;8.625316113301073;random512-10-1.map
24;True;AnyaSearch;13004;13004.3;13;37;49;(255,391);(260,400);11.07106781;10.295630140987;random512-10-1.map
25;True;AnyaSearch;17999;17999.7;16;48;63;(462,207);(471,201);11.48528137;10.816653826391969;random512-10-1.map
26;True;AnyaSearch;4997;4997.3;6;32;37;(39,355);(47,357);8.82842712;8.246211251235321;random512-10-1.map
27;True;AnyaSearch;9999;9999.9;17;54;70;(31,504);(29,494);10.82842712;10.198039027185569;random512-10-1.map
28;True;AnyaSearch;8000;8000.3;16;45;60;(469,348);(461,343);10.07106781;9.433981132056603;random512-10-1.map
29;True;AnyaSearch;17998;17998.0;39;102;140;(388,185);(390,174);11.82842712;11.180339887498949;random512-10-1.map
30;True;AnyaSearch;19003;19003.8;39;108;146;(376,263);(376,274);11.82842712;11.233345472033855;random512-10-1.map
31;True;AnyaSearch;11001;11001.8;20;54;73;(76,365);(73,376);12.82842712;11.408488911403701;random512-10-1.map
32;True;AnyaSearch;13057;13057.7;30;83;112;(307,467);(320,460);15.89949493;14.76776609598658;random512-10-1.map
33;True;AnyaSearch;5958;5958.1;9;33;41;(136,326);(124,328);13.41421356;12.165525060596439;random512-10-1.map
34;True;AnyaSearch;10042;10042.9;13;46;58;(457,500);(451,511);13.48528137;12.594553449872045;random512-10-1.map
35;True;AnyaSearch;9961;9961.0;21;65;85;(184,488);(196,488);13.41421356;12.464089183493986;random512-10-1.map
36;True;AnyaSearch;7003;7003.9;14;41;54;(119,342);(128,352);14.3137085;13.505046212075655;random512-10-1.map
37;True;AnyaSearch;14961;14961.0;30;79;108;(458,375);(449,382);13.07106781;11.487806144337682;random512-10-1.map
38;True;AnyaSearch;6998;6998.1;14;43;56;(403,394);(393,389);12.07106781;11.180339887498949;random512-10-1.map
39;True;AnyaSearch;5001;5001.9;8;28;35;(199,34);(211,31);13.82842712;12.434107004685359;random512-10-1.map
40;True;AnyaSearch;18000;18000.7;39;99;137;(75,329);(82,338);12.48528137;11.43397840021018;random512-10-1.map
41;True;AnyaSearch;15998;15998.8;29;79;107;(278,493);(287,506);16.72792206;15.927748389792256;random512-10-1.map
42;True;AnyaSearch;9017;9017.1;18;54;71;(436,184);(418,180);19.65685425;18.60470926442739;random512-10-1.map
43;True;AnyaSearch;8996;8996.6;13;50;62;(220,309);(213,324);17.89949493;16.55294535724685;random512-10-1.map
44;True;AnyaSearch;13035;13035.0;30;78;107;(241,166);(256,163);16.24264069;15.34764103408459;random512-10-1.map
45;True;AnyaSearch;8039;8039.2;16;50;65;(380,284);(395,287);16.24264069;15.342367637579066;random512-10-1.map
46;True;AnyaSearch;31041;31041.3;52;154;205;(278,319);(285,335);18.89949493;17.480098723444733;random512-10-1.map
47;True;AnyaSearch;32000;32000.4;61;148;200;(413,475);(416,490);17.65685425;15.660424813608417;random512-10-1.map
48;True;AnyaSearch;8996;8996.8;17;50;66;(38,262);(44,276);16.48528137;15.234022608930609;random512-10-1.map
49;True;AnyaSearch;5001;5001.8;11;30;40;(254,214);(272,217);19.24264069;18.295023610589936;random512-10-1.map
50;True;AnyaSearch;10018;10018.7;20;54;73;(398,485);(412,475);19.3137085;17.673393078908102;random512-10-1.map
51;True;AnyaSearch;47037;47037.2;94;232;295;(130,481);(145,494);22.97056274;21.526875953030867;random512-10-1.map
52;True;AnyaSearch;15001;15001.2;36;94;129;(155,296);(135,289);22.89949493;21.19311438599105;random512-10-1.map
53;True;AnyaSearch;22041;22041.4;42;117;158;(337,418);(318,429);23.55634918;22.063856377867786;random512-10-1.map
54;True;AnyaSearch;20003;20003.1;33;86;118;(231,279);(242,297);22.55634918;21.327756159702915;random512-10-1.map
55;True;AnyaSearch;26959;26959.9;45;121;163;(316,27);(310,46);22.07106781;20.105205622037392;random512-10-1.map
56;True;AnyaSearch;6035;6035.6;12;31;42;(389,493);(409,494);21.24264069;20.06225774829855;random512-10-1.map
57;True;AnyaSearch;18994;18994.2;30;89;118;(357,250);(358,228);23.82842712;22.162277660168378;random512-10-1.map
58;True;AnyaSearch;16008;16008.7;24;75;98;(354,387);(350,368);20.65685425;19.450908346382477;random512-10-1.map
59;True;AnyaSearch;14996;14996.0;26;69;94;(60,62);(75,48);21.38477631;20.526875953030867;random512-10-1.map
60;True;AnyaSearch;10998;10998.0;21;63;83;(493,181);(479,168);20.55634918;19.1310462987907;random512-10-1.map
61;True;AnyaSearch;17002;17002.8;30;87;116;(361,90);(341,76);26.97056274;24.64508095113816;random512-10-1.map
62;True;AnyaSearch;26001;26001.6;43;128;170;(469,400);(446,389);27.55634918;25.52977097430378;random512-10-1.map
63;True;AnyaSearch;17002;17002.4;21;57;77;(175,74);(177,48);26.82842712;26.14213562373095;random512-10-1.map
64;True;AnyaSearch;55994;55994.8;122;329;374;(195,307);(180,325);25.97056274;24.13036232537673;random512-10-1.map
65;True;AnyaSearch;15999;15999.9;29;83;111;(96,481);(110,462);25.97056274;23.696933347910438;random512-10-1.map
66;True;AnyaSearch;47002;47002.1;98;270;358;(381,381);(379,355);26.82842712;26.165525060596437;random512-10-1.map
67;True;AnyaSearch;40999;40999.3;83;236;313;(122,494);(124,467);27.82842712;27.124357109090514;random512-10-1.map
68;True;AnyaSearch;33019;33019.5;73;179;251;(399,511);(406,488);25.89949493;24.181782043891005;random512-10-1.map
69;True;AnyaSearch;14950;14950.4;23;70;92;(395,341);(384,318);27.55634918;25.501333644294633;random512-10-1.map
70;True;AnyaSearch;9003;9003.8;15;44;58;(415,98);(394,92);24.07106781;21.848730016596782;random512-10-1.map
71;True;AnyaSearch;24040;24040.7;50;131;179;(15,412);(38,425);29.55634918;26.955787304619463;random512-10-1.map
72;True;AnyaSearch;17957;17957.1;36;91;126;(13,398);(20,426);31.48528137;29.006977892448997;random512-10-1.map
73;True;AnyaSearch;16004;16004.4;34;99;132;(472,395);(448,384);29.72792206;26.404067333919844;random512-10-1.map
74;True;AnyaSearch;12032;12032.0;22;64;85;(207,420);(195,395);31.14213562;27.730849247724095;random512-10-1.map
75;True;AnyaSearch;32000;32000.5;63;173;234;(34,144);(31,173);31.65685425;29.59524158061724;random512-10-1.map
76;True;AnyaSearch;17962;17962.1;37;102;138;(279,491);(291,466);29.97056274;28.088236374645316;random512-10-1.map
77;True;AnyaSearch;8001;8001.3;14;40;53;(467,340);(442,332);28.3137085;26.384275727693442;random512-10-1.map
78;True;AnyaSearch;22996;22996.0;45;126;165;(168,174);(195,163);31.55634918;29.456334086765672;random512-10-1.map
79;True;AnyaSearch;22003;22003.2;45;123;167;(127,267);(108,285);28.79898987;26.39796843906782;random512-10-1.map
80;True;AnyaSearch;30002;30002.7;58;169;226;(66,257);(84,239);28.38477631;25.635595317210125;random512-10-1.map
81;True;AnyaSearch;28002;28002.8;28;83;110;(370,260);(374,227);34.65685425;33.2842712474619;random512-10-1.map
82;True;AnyaSearch;27006;27006.5;37;111;147;(297,283);(273,306);34.6984848;33.243082697759824;random512-10-1.map
83;True;AnyaSearch;27997;27997.5;46;129;174;(409,115);(386,137);34.45584412;31.846961455262406;random512-10-1.map
84;True;AnyaSearch;35032;35032.9;77;223;299;(177,50);(162,22);34.79898987;32.22221499752499;random512-10-1.map
85;True;AnyaSearch;13008;13008.1;30;77;106;(132,3);(141,32);32.72792206;30.522134888180346;random512-10-1.map
86;True;AnyaSearch;38008;38008.6;88;223;273;(307,155);(337,162);34.07106781;31.421880252322968;random512-10-1.map
