exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;2057;2057.0;3;3;5;(477,130);(476,131);2.0;2.0;maze512-1-0.map
2;True;AnyaSearch;963;963.4;2;3;4;(60,509);(58,509);2.0;2.0;maze512-1-0.map
3;True;AnyaSearch;995;995.3;2;4;5;(218,7);(215,7);3.0;3.0;maze512-1-0.map
4;True;AnyaSearch;2041;2041.1;4;7;10;(191,129);(189,129);2.0;2.0;maze512-1-0.map
5;True;AnyaSearch;968;968.7;2;3;4;(107,220);(107,219);1.0;1.0;maze512-1-0.map
6;True;AnyaSearch;995;995.3;3;5;7;(327,26);(326,27);2.0;2.0;maze512-1-0.map
7;True;AnyaSearch;1039;1039.2;2;3;4;(99,147);(99,148);1.0;1.0;maze512-1-0.map
8;True;AnyaSearch;999;999.4;2;3;4;(203,69);(203,72);3.0;3.0;maze512-1-0.map
9;True;AnyaSearch;1002;501.45;1;1;1;(16,65);(16,65);0.0;0.0;maze512-1-0.map
10;True;AnyaSearch;966;966.5;2;5;6;(351,492);(351,491);1.0;1.0;maze512-1-0.map
11;True;AnyaSearch;1038;1038.7;3;5;7;(84,323);(81,325);5.0;4.23606797749979;maze512-1-0.map
12;True;AnyaSearch;993;993.9;5;9;13;(1,397);(3,402);7.0;5.5373191879907555;maze512-1-0.map
13;True;AnyaSearch;1033;1033.8;4;5;8;(4,457);(1,461);7.0;5.39834563766817;maze512-1-0.map
14;True;AnyaSearch;1968;1968.5;4;6;9;(37,421);(34,423);5.0;3.8284271247461903;maze512-1-0.map
15;True;AnyaSearch;998;998.8;4;6;9;(47,396);(49,393);5.0;4.23606797749979;maze512-1-0.map
16;True;AnyaSearch;3000;1500.4;3;5;7;(170,147);(175,147);5.0;5.0;maze512-1-0.map
17;True;AnyaSearch;1006;1006.1;4;5;8;(443,445);(445,449);6.0;5.123105625617661;maze512-1-0.map
18;True;AnyaSearch;3020;3020.5;5;7;11;(6,353);(5,357);7.0;5.242640687119285;maze512-1-0.map
19;True;AnyaSearch;1057;1057.4;4;5;8;(88,235);(89,232);4.0;4.0;maze512-1-0.map
20;True;AnyaSearch;2002;2002.3;4;5;8;(155,38);(157,41);7.0;5.0;maze512-1-0.map
21;True;AnyaSearch;3958;3958.1;5;6;10;(485,361);(479,366);11.0;9.335087491092574;maze512-1-0.map
22;True;AnyaSearch;3041;3041.1;7;12;18;(19,229);(28,227);11.0;10.23606797749979;maze512-1-0.map
23;True;AnyaSearch;2960;2960.0;6;8;13;(174,437);(181,438);10.0;8.82842712474619;maze512-1-0.map
24;True;AnyaSearch;3001;3001.2;8;9;16;(339,145);(343,151);10.0;7.812559200041265;maze512-1-0.map
25;True;AnyaSearch;2002;2002.8;4;8;11;(296,75);(293,70);8.0;5.99070478491457;maze512-1-0.map
26;True;AnyaSearch;3992;3992.9;7;12;18;(305,66);(309,63);11.0;8.414213562373096;maze512-1-0.map
27;True;AnyaSearch;2002;2002.4;5;7;11;(294,151);(295,147);11.0;7.39834563766817;maze512-1-0.map
28;True;AnyaSearch;2998;2998.8;7;13;19;(36,99);(39,93);9.0;9.0;maze512-1-0.map
29;True;AnyaSearch;2999;2999.5;5;7;11;(297,9);(301,9);8.0;5.414213562373095;maze512-1-0.map
30;True;AnyaSearch;2002;2002.1;5;7;11;(277,332);(276,337);8.0;5.414213562373095;maze512-1-0.map
31;True;AnyaSearch;1999;1999.6;7;9;15;(424,363);(428,357);12.0;8.39834563766817;maze512-1-0.map
