exp;path_found;alg;wallt_micro;runt_micro;expanded;generated;heapops;start;target;gridcost;realcost;map
1;True;AnyaSearch;3668;3668.4;3;6;8;(277,55);(276,56);1.41421356;1.4142135623730951;random512-20-8.map
2;True;AnyaSearch;1069;1069.0;1;1;1;(420,6);(420,6);0.0;0.0;random512-20-8.map
3;True;AnyaSearch;3214;3214.3;7;23;29;(106,338);(106,339);1.0;1.0;random512-20-8.map
4;True;AnyaSearch;2045;1023.1;2;2;3;(171,73);(171,74);1.0;1.0;random512-20-8.map
5;True;AnyaSearch;1003;1003.8;1;1;1;(482,497);(482,497);0.0;0.0;random512-20-8.map
6;True;AnyaSearch;1148;1148.6;3;10;12;(76,412);(77,413);2.0;1.4142135623730951;random512-20-8.map
7;True;AnyaSearch;1016;1016.9;2;6;7;(107,85);(107,86);1.0;1.0;random512-20-8.map
8;True;AnyaSearch;966;966.0;3;9;11;(326,6);(326,7);1.0;1.0;random512-20-8.map
9;True;AnyaSearch;3912;3912.1;9;30;38;(185,115);(185,118);3.0;3.0;random512-20-8.map
10;True;AnyaSearch;2499;2499.9;4;12;15;(278,168);(275,167);3.41421356;3.1622776601683795;random512-20-8.map
11;True;AnyaSearch;4143;4143.4;5;17;21;(333,65);(328,63);5.82842712;5.385164807134504;random512-20-8.map
12;True;AnyaSearch;7555;7555.6;12;26;37;(318,84);(318,78);6.0;6.0;random512-20-8.map
13;True;AnyaSearch;3060;3060.8;7;24;30;(169,495);(172,492);6.0;4.650281539872885;random512-20-8.map
14;True;AnyaSearch;3483;3483.3;4;11;14;(482,44);(480,47);4.41421356;3.8284271247461903;random512-20-8.map
15;True;AnyaSearch;3915;3915.8;8;22;29;(114,23);(114,18);5.0;5.0;random512-20-8.map
16;True;AnyaSearch;9550;9550.0;16;48;63;(472,19);(475,14);7.41421356;6.39834563766817;random512-20-8.map
17;True;AnyaSearch;5525;5525.3;8;14;21;(395,426);(400,423);7.41421356;6.650281539872885;random512-20-8.map
18;True;AnyaSearch;4294;4294.5;6;17;22;(172,118);(178,117);7.0;6.23606797749979;random512-20-8.map
19;True;AnyaSearch;7526;7526.7;12;36;47;(96,482);(96,488);6.82842712;6.0;random512-20-8.map
20;True;AnyaSearch;3000;3000.3;7;17;23;(127,20);(127,16);4.0;4.0;random512-20-8.map
21;True;AnyaSearch;5526;5526.1;13;39;51;(396,150);(398,159);11.24264069;9.219544457292887;random512-20-8.map
22;True;AnyaSearch;4284;4284.1;10;29;38;(241,105);(240,99);10.41421356;9.242640687119286;random512-20-8.map
23;True;AnyaSearch;3679;3679.7;9;22;30;(381,7);(379,15);9.41421356;8.318830507798008;random512-20-8.map
24;True;AnyaSearch;3603;3603.2;10;23;32;(291,276);(297,272);8.82842712;7.3005630797457695;random512-20-8.map
25;True;AnyaSearch;3143;3143.6;7;22;28;(398,32);(404,27);8.65685425;7.810249675906654;random512-20-8.map
26;True;AnyaSearch;6488;6488.3;8;20;27;(338,415);(344,411);10.24264069;7.478708664619075;random512-20-8.map
27;True;AnyaSearch;9921;9921.9;23;60;82;(435,287);(429,294);10.65685425;9.59625606037856;random512-20-8.map
28;True;AnyaSearch;2533;2533.1;5;16;20;(105,497);(94,496);11.41421356;11.045361017187261;random512-20-8.map
29;True;AnyaSearch;3534;3534.9;8;22;29;(230,364);(226,356);10.24264069;8.94427190999916;random512-20-8.map
30;True;AnyaSearch;3806;3806.3;4;9;12;(446,45);(453,46);8.82842712;7.123105625617661;random512-20-8.map
31;True;AnyaSearch;9618;9618.2;21;49;69;(354,115);(351,105);12.41421356;10.486832980505138;random512-20-8.map
32;True;AnyaSearch;6097;6097.3;9;28;36;(370,241);(366,253);14.24264069;12.66710937093519;random512-20-8.map
33;True;AnyaSearch;15029;15029.2;34;85;114;(186,40);(184,29);13.82842712;12.414213562373096;random512-20-8.map
34;True;AnyaSearch;7673;7673.4;11;29;39;(197,388);(184,390);13.82842712;13.198039027185569;random512-20-8.map
35;True;AnyaSearch;4042;4042.1;9;23;31;(126,95);(115,99);14.41421356;11.91157871363405;random512-20-8.map
36;True;AnyaSearch;7143;7143.3;16;40;55;(420,65);(409,57);14.89949493;13.62209010487971;random512-20-8.map
37;True;AnyaSearch;13423;13423.5;28;83;107;(257,36);(252,25);14.82842712;12.851841083363698;random512-20-8.map
38;True;AnyaSearch;6917;6917.8;18;40;57;(282,388);(277,394);12.41421356;8.63441361516796;random512-20-8.map
39;True;AnyaSearch;8110;8110.7;17;40;56;(133,484);(123,479);15.82842712;14.073467315212788;random512-20-8.map
40;True;AnyaSearch;11554;11554.7;29;58;85;(409,228);(412,240);15.82842712;13.733433128760744;random512-20-8.map
41;True;AnyaSearch;6114;6114.9;15;36;50;(375,493);(382,507);17.48528137;15.94734059783891;random512-20-8.map
42;True;AnyaSearch;10607;10607.6;22;51;69;(350,232);(333,235);19.07106781;17.808739641064047;random512-20-8.map
43;True;AnyaSearch;15523;15523.8;35;82;116;(386,323);(377,333);16.07106781;13.779271744364845;random512-20-8.map
44;True;AnyaSearch;6646;6646.7;14;34;47;(176,277);(189,270);17.07106781;14.821667977443793;random512-20-8.map
45;True;AnyaSearch;3959;3959.3;8;21;28;(464,242);(455,254);16.3137085;15.0;random512-20-8.map
46;True;AnyaSearch;10391;10391.6;17;44;60;(280,391);(292,403);18.72792206;16.970562748477143;random512-20-8.map
47;True;AnyaSearch;23312;23312.2;28;74;99;(16,428);(25,416);18.07106781;16.172747282920035;random512-20-8.map
48;True;AnyaSearch;9677;9677.3;20;47;63;(422,47);(412,35);17.3137085;15.850294765860617;random512-20-8.map
49;True;AnyaSearch;9344;9344.3;13;34;46;(346,20);(334,20);16.24264069;13.516177866780307;random512-20-8.map
50;True;AnyaSearch;14524;14524.0;33;89;114;(181,371);(194,360);19.3137085;17.543203766865055;random512-20-8.map
51;True;AnyaSearch;22200;22200.8;43;111;153;(231,307);(224,322);21.3137085;18.65937901959149;random512-20-8.map
52;True;AnyaSearch;47061;47061.9;104;258;320;(190,357);(184,373);20.14213562;17.77269903474535;random512-20-8.map
53;True;AnyaSearch;12043;12043.8;23;59;81;(493,394);(497,415);23.82842712;21.492499163281476;random512-20-8.map
54;True;AnyaSearch;31709;31709.7;68;147;199;(36,142);(30,126);20.24264069;18.221324381327896;random512-20-8.map
55;True;AnyaSearch;20301;20301.5;44;106;145;(104,448);(111,469);23.89949493;22.498061265780493;random512-20-8.map
56;True;AnyaSearch;20998;20998.5;35;96;130;(402,40);(415,25);23.89949493;20.272875147708024;random512-20-8.map
57;True;AnyaSearch;16063;16063.0;37;84;119;(64,93);(50,83);20.48528137;18.176706744056354;random512-20-8.map
58;True;AnyaSearch;13861;13861.6;28;88;115;(48,468);(54,447);23.48528137;22.271506342398357;random512-20-8.map
59;True;AnyaSearch;14150;14150.4;31;80;110;(143,207);(149,189);23.07106781;19.176835865719205;random512-20-8.map
60;True;AnyaSearch;7608;7608.1;14;36;49;(89,508);(105,497);21.14213562;19.4164878389476;random512-20-8.map
61;True;AnyaSearch;13996;13996.9;21;48;68;(203,38);(224,49);26.97056274;24.571844006669345;random512-20-8.map
62;True;AnyaSearch;32320;32320.8;66;162;211;(425,195);(410,213);26.55634918;24.243817826631933;random512-20-8.map
63;True;AnyaSearch;20597;20597.6;47;121;164;(498,313);(499,339);27.24264069;26.23606797749979;random512-20-8.map
64;True;AnyaSearch;42744;42744.7;97;219;265;(149,193);(130,183);25.72792206;23.112844364904113;random512-20-8.map
65;True;AnyaSearch;27241;27241.1;56;125;178;(302,199);(310,219);26.72792206;22.587245678645786;random512-20-8.map
66;True;AnyaSearch;18176;18176.6;41;108;147;(84,125);(64,133);24.48528137;21.837868826543726;random512-20-8.map
67;True;AnyaSearch;14377;14377.3;35;86;120;(95,157);(85,177);25.3137085;22.360679774997898;random512-20-8.map
68;True;AnyaSearch;47078;47078.0;110;244;319;(443,86);(441,65);27.72792206;23.81769306884381;random512-20-8.map
69;True;AnyaSearch;20739;20739.5;45;119;163;(158,108);(152,86);27.65685425;24.676008193960257;random512-20-8.map
70;True;AnyaSearch;31314;31314.8;68;152;200;(437,395);(420,384);25.07106781;21.15345193391368;random512-20-8.map
71;True;AnyaSearch;23036;23036.2;45;103;125;(310,85);(285,88);28.48528137;25.773387165490547;random512-20-8.map
72;True;AnyaSearch;14084;14084.3;34;80;113;(350,145);(375,149);30.89949493;26.71088323745356;random512-20-8.map
73;True;AnyaSearch;52461;52461.5;133;298;389;(95,186);(101,210);28.24264069;26.09975124224178;random512-20-8.map
74;True;AnyaSearch;12675;12675.0;31;67;94;(470,498);(443,504);31.48528137;28.039347939793455;random512-20-8.map
75;True;AnyaSearch;9417;9417.9;19;42;60;(51,115);(24,120);29.65685425;27.58882879890265;random512-20-8.map
76;True;AnyaSearch;93249;93249.5;212;474;575;(200,300);(209,277);31.55634918;27.425083377895575;random512-20-8.map
77;True;AnyaSearch;8139;8139.4;18;48;65;(161,42);(182,26);28.79898987;26.406819081807484;random512-20-8.map
78;True;AnyaSearch;24867;24867.9;65;148;187;(425,253);(403,262);28.3137085;25.47937956932987;random512-20-8.map
79;True;AnyaSearch;18555;18555.5;46;105;148;(469,86);(445,99);31.14213562;27.63550223423292;random512-20-8.map
80;True;AnyaSearch;50432;50432.7;135;334;358;(55,424);(82,418);30.89949493;28.543212307077685;random512-20-8.map
81;True;AnyaSearch;24419;24419.9;58;142;196;(389,346);(367,363);32.55634918;28.460164921278533;random512-20-8.map
82;True;AnyaSearch;26831;26831.7;62;137;188;(412,231);(414,201);34.48528137;31.102812363057314;random512-20-8.map
83;True;AnyaSearch;15060;15060.6;29;71;99;(438,255);(463,235);33.87005768;32.176509380035476;random512-20-8.map
84;True;AnyaSearch;11820;11820.2;29;62;89;(148,443);(180,447);34.48528137;32.495935083409336;random512-20-8.map
85;True;AnyaSearch;30037;30037.3;54;133;178;(448,120);(451,88);33.82842712;32.250959176678705;random512-20-8.map
86;True;AnyaSearch;70613;70613.2;127;265;362;(19,359);(1,382);33.97056274;30.855745008339923;random512-20-8.map
87;True;AnyaSearch;45389;45389.8;125;292;364;(218,122);(245,107);35.55634918;31.540195047648233;random512-20-8.map
88;True;AnyaSearch;21357;21357.3;50;127;171;(355,269);(366,296);34.48528137;29.356657734535016;random512-20-8.map
89;True;AnyaSearch;31883;31883.2;75;173;218;(20,56);(45,68);32.3137085;28.80312733695487;random512-20-8.map
90;True;AnyaSearch;15240;15240.0;39;86;116;(84,246);(56,240);33.89949493;29.577888106116767;random512-20-8.map
